# x y z block_id volume
0 0 -0.000000000000000000e+00 1 8.615883246740516643e-01
0 1 -0.000000000000000000e+00 1 8.615883246740516643e-01
1 1 -0.000000000000000000e+00 1 8.615883246740516643e-01
2 0 -0.000000000000000000e+00 1 8.615883246740516643e-01
2 4 -0.000000000000000000e+00 1 8.615883246740516643e-01
2 3 -0.000000000000000000e+00 1 8.615883246740516643e-01
1 3 -0.000000000000000000e+00 1 8.615883246740516643e-01
1 4 -0.000000000000000000e+00 1 8.615883246740516643e-01
2 2.5 -0.000000000000000000e+00 1 8.615883246740516643e-01








